"Match_Id","Innings","Team","Over","Runs Scored","Extras","Overall","x","RunRate","Target","RunsNeeded","RunRateNeeded","Team1","Team2","Toss_Winner","match_winner","TossWin","Win"
335991,2,1,10,2,1,3,38,3.8,111,73,7.3,1,8,8,1,0,1
336005,2,1,10,4,0,4,78,7.8,197,119,11.9,5,1,5,5,0,0
336008,2,1,10,7,0,7,52,5.2,179,127,12.7,4,1,4,4,0,0
336040,2,1,10,7,1,8,74,7.4,175,101,10.1,1,4,4,1,0,1
392191,2,1,10,1,0,1,79,7.9,159,80,8,4,1,1,1,1,1
392208,2,1,10,5,1,6,60,6,149,89,8.9,1,7,7,7,0,0
392236,2,1,10,5,0,5,83,8.3,189,106,10.6,3,1,3,1,0,1
392238,2,1,10,1,0,1,38,3.8,102,64,6.4,1,5,1,1,1,1
419114,2,1,10,6,0,6,85,8.5,136,51,5.1,1,2,1,1,1,1
419118,2,1,10,6,0,6,67,6.7,165,98,9.8,1,3,3,3,0,0
419123,2,1,10,6,0,6,65,6.5,169,104,10.4,5,1,5,5,0,0
419136,2,1,10,2,1,3,55,5.5,178,123,12.3,6,1,6,6,0,0
419163,2,1,10,5,0,5,69,6.9,133,64,6.4,1,5,5,1,0,1
419166,2,1,10,9,0,9,72,7.2,134,62,6.2,1,7,7,1,0,1
501203,2,1,10,12,0,12,76,7.6,154,78,7.8,3,1,3,3,0,0
501214,2,1,10,6,0,6,90,9,160,70,7,5,1,1,1,1,1
501219,2,1,10,4,0,4,45,4.5,82,37,3.7,1,5,1,1,1,1
501224,2,1,10,3,4,7,59,5.9,133,74,7.4,1,9,1,9,1,0
501239,2,1,10,9,0,9,71,7.1,120,49,4.9,1,4,1,1,1,1
501247,2,1,10,7,0,7,69,6.9,157,88,8.8,9,1,1,9,1,0
501250,2,1,10,8,1,9,61,6.1,115,54,5.4,1,3,3,1,0,1
501267,2,1,10,5,0,5,74,7.4,119,45,4.5,10,1,1,1,1,1
548317,2,1,10,12,1,13,65,6.5,165,100,10,5,1,1,5,1,0
548325,2,1,10,7,0,7,68,6.8,132,64,6.4,1,5,5,1,0,1
548328,2,1,10,3,1,4,70,7,135,65,6.5,1,4,1,4,1,0
548333,2,1,10,3,0,3,75,7.5,125,50,5,4,1,4,1,0,1
548340,2,1,10,6,1,7,65,6.5,127,62,6.2,8,1,1,1,1,1
548352,2,1,10,4,0,4,68,6.8,140,72,7.2,3,1,3,1,0,1
548362,2,1,10,4,0,4,80,8,154,74,7.4,6,1,6,1,0,1
548368,2,1,10,9,0,9,61,6.1,183,122,12.2,1,7,7,7,0,0
548386,2,1,10,9,0,9,100,10,191,91,9.1,1,3,3,1,0,1
598003,2,1,10,7,0,7,75,7.5,129,54,5.4,1,6,1,1,1,1
598010,2,1,10,1,4,5,55,5.5,145,90,9,5,1,1,5,1,0
